invoice_number,order_id,customer_name,item_name,quantity,rate,expected_amount
18509,ES-2025-JC15340139-41334,Jasper Cacioppo,"Cisco Audio Dock, Full Size Phones, Technology, TEC-PH-3785",4,733.44,2933.76
49650,SG-2025-EH4005111-41331,Erica Hernandez,"Brother Fax Machine, High-Speed Copiers, Technology, TEC-CO-3597",2,633.48,1266.96
22988,IN-2025-RE194507-41329,Richard Eichhorn,"Safco Library with Doors, Metal Bookcases, Furniture, FUR-BO-5785",2,700.65,1401.3
22999,IN-2025-BP1123058-41329,Benjamin Patterson,"Office Star Executive Leather Armchair, Red Chairs, Furniture, FUR-CH-5443",4,1878.72,7514.88
22711,IN-2025-DL1333058-41328,Denise Leinenbach,"Samsung Smart Phone, Full Size Phones, Technology, TEC-PH-5840",5,3187.2,15936.0
11502,ES-2025-PB19210139-41327,Phillip Breyer,"Enermax Keyboard, Erganomic Accessories, Technology, TEC-AC-4156",6,487.62,2925.72
49674,UP-2025-AH10030137-41325,Aaron Hawkins,"Hon Rocking Chair, Black Chairs, Furniture, FUR-CH-4682",8,1025.52,8204.16
35513,CA-2025-AB10600140-41322,Ann Blume,"Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set Labels, Office Supplies, OFF-LA-6022",3,9.24,27.72
20145,ES-2025-BD11560139-41327,Brendan Dodson,"Hon Executive Leather Armchair, Black Chairs, Furniture, FUR-CH-4655",5,2285.70,11428.50
18517,ES-2025-FO1430545-41322,Frank Olsen,"Belkin Numeric Keypad, Bluetooth Accessories, Technology, TEC-AC-3396",10,579.60,5796.00
28863,IN-2025-ME1801027-41322,Michelle Ellison,"Office Star Executive Leather Armchair, Adjustable Chairs, Furniture, FUR-CH-5441",1,930.00,930.00
23981,IN-2025-NG1843058-41319,Nathan Gelder,"SAFCO Chairmat, Set of Two Chairs, Furniture, FUR-CH-5759",4,248.28,993.12
11501,ES-2025-PB19210139-41327,Phillip Breyer,"SanDisk Router, USB Accessories, Technology, TEC-AC-5897",2,513.12,1026.24
9595,MX-2025-RB1979518-41322,Ross Baird,"Smead Lockers, Industrial Storage, Office Supplies, OFF-ST-6047",6,795.60,4773.60
49660,TU-2025-TA11385134-41326,Tom Ashbrook,"Office Star Swivel Stool, Adjustable Chairs, Furniture, FUR-CH-5454",14,988.01,13832.11
23980,IN-2025-NG1843058-41319,Nathan Gelder,"Nokia Signal Booster, with Caller ID Phones, Technology, TEC-PH-5353",4,546.00,2184.00
1398,MX-2025-MG1814526-41319,Mike Gockenbach,"Logitech Keyboard, Bluetooth Accessories, Technology, TEC-AC-5115",4,338.10,1352.40
30385,ID-2025-JL1585092-41317,John Lucas,"Safco 3-Shelf Cabinet, Pine Bookcases, Furniture, FUR-BO-5747",6,612.68,3676.10
22561,IN-2025-MA1799559-41314,Michelle Arnett,"Konica Card Printer, Red Machines, Technology, TEC-MA-5003",8,1144.20,9153.64
22563,IN-2025-MA1799559-41314,Michelle Arnett,"Harbour Creations Chairmat, Black Chairs, Furniture, FUR-CH-4523",8,406.29,3250.31
12012,ES-2025-PP1895545-41313,Paul Prost,"Canon Copy Machine, Digital Copiers, Technology, TEC-CO-3679",3,667.54,2002.62
18704,ES-2025-JM1586545-41312,John Murray,"Fiskars Trimmer, Easy Grip Supplies, Office Supplies, OFF-SU-4325",9,263.52,2371.68
4375,MX-2025-SB2018593-41312,Sarah Brown,"Brother Fax Machine, Laser Copiers, Technology, TEC-CO-3598",3,635.81,1907.42
18705,ES-2025-JM1586545-41312,John Murray,"Cisco Audio Dock, with Caller ID Phones, Technology, TEC-PH-3787",1,464.28,464.28
12655,ES-2025-AJ1096045-41311,Astrea Jones,"Rubbermaid Frame, Erganomic Furnishings, Furniture, FUR-FU-5730",6,651.06,3906.36
20955,IN-2025-SC2080058-41310,Stuart Calhoun,"Safco Library with Doors, Pine Bookcases, Furniture, FUR-BO-5787",7,2737.98,19165.86
20954,IN-2025-SC2080058-41310,Stuart Calhoun,"Dania Classic Bookcase, Pine Bookcases, Furniture, FUR-BO-3891",3,1236.33,3708.99
29555,IN-2025-JC157757-41310,John Castell,"Novimex Executive Leather Armchair, Adjustable Chairs, Furniture, FUR-CH-5378",2,819.94,1639.87
6474,US-2025-JK15370143-41310,Jay Kimmel,"Breville Toaster, Silver Appliances, Office Supplies, OFF-AP-3584",7,216.89,1518.22
1935,MX-2025-CC1210082-41308,Chad Cunningham,"HP Fax Machine, Laser Copiers, Technology, TEC-CO-4776",3,598.68,1796.04
15811,ES-2025-JH1582048-41306,John Huston,"Samsung Signal Booster, Full Size Phones, Technology, TEC-PH-5836",7,965.16,6756.12
21252,IN-2025-SV2036527-41306,Seth Vernon,"Samsung Speaker Phone, with Caller ID Phones, Technology, TEC-PH-5846",9,1109.16,9982.44
21253,IN-2025-SV2036527-41306,Seth Vernon,"Smead Lockers, Wire Frame Storage, Office Supplies, OFF-ST-6049",6,1184.94,7109.64
